1607731200
1608336000
6.6743015e-11
1
-1
0,Sun,1,695700.0,25.38,7.25,0.9997888301188586,-6.513246099031977E-03,6.117209800471257E-03,1.013445970938354E-04,-6.955562147104239E-06,-5.570958483700284E-06,2.174820361361540E-07
1,Mercury,1,2440.0,1.24001e-06,2.11,1.660197494117411e-07,-1.951269677704834E-01,-4.178450055512742E-01,-1.724136649361161E-02,2.003762992737081E-02,-1.006649882108758E-02,-2.660637072693891E-03
2,Venus,1,6051.84,-2.9924e-07,177.3,2.447810872232167e-06,-6.842908048352571E-01,-2.385279445968833E-01,3.585584074224119E-02,6.723636145035662E-03,-1.912326229157131E-02,-6.505345602215827E-04
3,DEATHSTAR,1,1737.53,2.6617e-06,6.67,3.6949701345453815e-08,1.604958287815925E-01,9.744657193013900E-01,1.868622906569418E-04,-1.681010089423890E-02,2.432759957428259E-03,-4.618859900311208E-05
4,Earth,1,6371.01,7.292115e-05,23.4392911,3.0027301248919016e-06,1.622579957389862E-01,9.761221058229992E-01,5.373489375534890E-05,-1.724242466206539E-02,2.883832025215380E-03,6.987175827141265E-07
5,Mars,1,3389.92,7.08822e-05,25.19,3.226424391126843e-07,8.465765272574970E-01,1.219661215852189E+00,4.605114005193046E-03,-1.092392013285414E-02,9.233355255809803E-03,4.616371017606014E-04
6,Jupiter,1,71492.0,0.00017585,3.13,0.0009543521106932406,2.914228592894236E+00,-4.177510430316559E+00,-4.786920225992232E-02,6.095603857740477E-03,4.674926465555783E-03,-1.557747700228924E-04
7,Saturn,1,60268.0,0.000163785,26.73,0.0002857530720189852,5.396386096136037E+00,-8.396666010466467E+00,-6.884059973895380E-02,4.382900563538985E-03,3.001959812133514E-03,-2.266077336665883E-04
8,Uranus,1,25559.0,-0.000101237,97.77,4.364831164652173e-05,1.539345008068502E+01,1.241012575651890E+01,-1.533326108342309E-01,-2.497439872974696E-03,2.878711100655601E-03,4.306450481187603E-05
9,Neptune,1,24766.0,0.000108338,28.32,5.1485228164028726e-05,2.944325776570933E+01,-5.287998808592372E+00,-5.696537870608981E-01,5.342629436104173E-04,3.108044647209841E-03,-7.672431591432984E-05
